id,client_order_id,symbol,side,qty,filled_qty,type,status,created_at,submitted_at,filled_at
fb777138-64a1-4018-b02d-9c87d947fd0c,d6746eed-a77d-48ea-a1be-833590f06b1f,NVDA,buy,19,0,market,accepted,2025-03-01 17:57:36.526548+00:00,2025-03-01 17:57:36.526548+00:00,
8d46fbc4-f0fd-496d-94dd-f4c602595397,4ff97fb9-181b-4cb0-a0bd-ab153bead773,GOOGL,buy,10,0,market,accepted,2025-03-01 17:53:38.017947+00:00,2025-03-01 17:53:38.017947+00:00,
